image_path,GHI,Sky_Condition
D:\Image\20250123_004230.jpg,183.56,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004300.jpg,190.58,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004330.jpg,198.34,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004400.jpg,203.56,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004430.jpg,204.86,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004500.jpg,205.77,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004530.jpg,207.11,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004600.jpg,207.13,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004630.jpg,206.93,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004700.jpg,209.66,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004730.jpg,212.95,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004800.jpg,216.83,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004830.jpg,218.99,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004900.jpg,219.12,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004930.jpg,220.29,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005000.jpg,222.78,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005030.jpg,226.14,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005100.jpg,227.82,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005130.jpg,227.8,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005200.jpg,205.98,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005230.jpg,163.7,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005300.jpg,138.54,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005330.jpg,131.18,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005400.jpg,127.57,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005430.jpg,125.54,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005500.jpg,128.8,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005530.jpg,133.52,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005600.jpg,131.76,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005630.jpg,129.31,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005700.jpg,131.54,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005730.jpg,135.33,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005800.jpg,158.24,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005830.jpg,215.83,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005900.jpg,235.95,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_005930.jpg,199.37,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010000.jpg,172.06,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010030.jpg,136.29,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010100.jpg,123.52,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010130.jpg,120.54,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010200.jpg,117.88,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010230.jpg,117.35,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010300.jpg,117.37,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010330.jpg,117.33,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010400.jpg,117.72,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010430.jpg,118.29,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010500.jpg,119.07,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010530.jpg,119.07,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010600.jpg,118.89,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010630.jpg,119.15,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010700.jpg,119.7,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010730.jpg,120.25,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010800.jpg,121.44,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010830.jpg,122.06,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010900.jpg,124.2,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_010930.jpg,126.2,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011000.jpg,129.14,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011030.jpg,131.89,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011100.jpg,135.08,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011130.jpg,138.3,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011200.jpg,141.93,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011230.jpg,146.21,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011300.jpg,148.5,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011330.jpg,150.48,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011400.jpg,153.33,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011430.jpg,154.61,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011500.jpg,155.04,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011530.jpg,157.21,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011600.jpg,159.58,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011630.jpg,161.19,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011700.jpg,166.11,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011730.jpg,173.77,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011800.jpg,196.25,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011830.jpg,181.42,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011900.jpg,172.6,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_011930.jpg,173.03,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012000.jpg,174.15,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012030.jpg,174.83,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012100.jpg,175.12,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012130.jpg,173.09,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012200.jpg,169.96,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012230.jpg,167.65,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012300.jpg,166.13,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012330.jpg,164.79,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012400.jpg,163.71,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012430.jpg,161.99,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012500.jpg,160.8,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012530.jpg,160.6,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012600.jpg,161.04,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012630.jpg,161.83,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012700.jpg,163.26,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012730.jpg,164.85,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012800.jpg,166.64,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012830.jpg,169.28,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012900.jpg,171.68,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_012930.jpg,174.33,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013000.jpg,177.98,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013030.jpg,181.18,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013100.jpg,182.81,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013130.jpg,184.72,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013200.jpg,185.72,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013230.jpg,186.33,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013300.jpg,186.73,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013330.jpg,186.9,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013400.jpg,187.01,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013430.jpg,188.42,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013500.jpg,190.26,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013530.jpg,192.17,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013600.jpg,192.68,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013630.jpg,192.97,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013700.jpg,192.65,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013730.jpg,192.7,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013800.jpg,192.57,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013830.jpg,192.02,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013900.jpg,191.66,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_013930.jpg,191.86,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014000.jpg,191.44,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014030.jpg,191.24,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014100.jpg,192.08,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014130.jpg,192.46,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014200.jpg,192.92,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014230.jpg,193.45,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014300.jpg,194.7,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014330.jpg,195.72,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014400.jpg,196.98,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014430.jpg,199.07,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014500.jpg,200.78,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014530.jpg,203.49,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014600.jpg,206.54,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014630.jpg,210.21,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014700.jpg,213.45,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014730.jpg,216.61,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014800.jpg,220.37,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014830.jpg,224.36,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014900.jpg,228.04,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_014930.jpg,231.08,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015000.jpg,233.33,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015030.jpg,234.63,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015100.jpg,234.25,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015130.jpg,231.9,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015200.jpg,230.36,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015230.jpg,228.11,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015300.jpg,224.6,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015330.jpg,221.25,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015400.jpg,219.27,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015430.jpg,218.24,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015500.jpg,218.66,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015530.jpg,219.82,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015600.jpg,222.11,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015630.jpg,224.98,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015700.jpg,227.86,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015730.jpg,232.16,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015800.jpg,236.65,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015830.jpg,241.96,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_015900.jpg,246.08,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_015930.jpg,248.73,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020000.jpg,251.22,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020030.jpg,254.79,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020100.jpg,258.89,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020130.jpg,263.62,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020200.jpg,269.38,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020230.jpg,275.74,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020300.jpg,281.93,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020330.jpg,286.67,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020400.jpg,288.87,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020430.jpg,289.56,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020500.jpg,287.88,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020530.jpg,285.19,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020600.jpg,280.88,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020630.jpg,276.38,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020700.jpg,269.93,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020730.jpg,264.13,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020800.jpg,257.41,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020830.jpg,251.92,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020900.jpg,247.27,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_020930.jpg,243.04,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021000.jpg,238.82,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021030.jpg,235.02,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021100.jpg,230.79,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021130.jpg,226.21,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021200.jpg,221.65,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021230.jpg,217.2,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021300.jpg,214.58,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021330.jpg,212.0,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021400.jpg,209.75,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021430.jpg,208.65,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021500.jpg,207.55,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021530.jpg,207.42,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021600.jpg,208.5,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021630.jpg,210.17,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021700.jpg,211.51,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021730.jpg,211.8,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021800.jpg,211.74,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021830.jpg,212.59,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021900.jpg,214.89,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_021930.jpg,218.26,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_022000.jpg,222.91,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_022030.jpg,228.81,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_022100.jpg,235.2,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_022130.jpg,245.97,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022200.jpg,257.9,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022230.jpg,265.16,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022300.jpg,273.43,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022330.jpg,282.75,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022400.jpg,286.27,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022430.jpg,290.26,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022500.jpg,291.01,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022530.jpg,289.62,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022600.jpg,285.61,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022630.jpg,281.6,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022700.jpg,276.98,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022730.jpg,272.52,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022800.jpg,269.53,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022830.jpg,272.33,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022900.jpg,276.95,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_022930.jpg,289.49,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023000.jpg,308.66,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023030.jpg,333.78,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023100.jpg,388.84,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023130.jpg,366.93,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023200.jpg,393.95,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023230.jpg,396.55,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023300.jpg,394.5,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023330.jpg,403.45,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023400.jpg,409.92,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023430.jpg,411.36,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_023500.jpg,421.93,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023530.jpg,443.28,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023600.jpg,471.48,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023630.jpg,518.54,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023700.jpg,514.8,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023730.jpg,524.49,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023800.jpg,543.9,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023830.jpg,529.93,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_023900.jpg,772.89,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_023930.jpg,790.76,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024000.jpg,778.34,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024030.jpg,763.06,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024100.jpg,810.24,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024130.jpg,712.83,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024200.jpg,732.46,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024230.jpg,780.29,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024300.jpg,778.84,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024330.jpg,677.91,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024400.jpg,749.07,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024430.jpg,747.62,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024500.jpg,836.46,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024530.jpg,870.39,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_024600.jpg,882.09,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_024630.jpg,878.34,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_024700.jpg,894.56,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
